stop_name,trip_short_name,boardings,alightings,onboard
San Francisco,102,17.4,0,17.4
22nd St,102,6.6,0,24
Bayshore,102,4.4,0,28.4
So. San Francisco,102,6,0.4,34
San Bruno,102,6,0.2,39.8
Millbrae,102,8.4,1.8,46.4
Burlingame,102,4,0.2,50.2
San Mateo,102,7,1,56.2
Hayward Park,102,2.6,0.2,58.6
Hillsdale,102,8.4,0.8,66.2
Belmont,102,6.4,0.6,72
San Carlos,102,8,2.2,77.8
Redwood City,102,10.4,10,78.2
Menlo Park,102,4,4.2,78
Palo Alto,102,6.2,28,56.2
California Ave,102,1.4,5.8,51.8
San Antonio,102,2.6,2.8,51.6
Mt View,102,4.4,13.8,42.2
Sunnyvale,102,0.6,7.2,35.6
Lawrence,102,0.6,2.8,33.4
Santa Clara,102,0.2,10.8,22.8
San Jose Diridon,102,0,22.8,0
San Francisco,104,24.4,0,24.4
22nd St,104,8.6,0,33
Bayshore,104,4,0,37
So. San Francisco,104,8.4,2.6,42.8
San Bruno,104,8.4,1.4,49.8
Millbrae,104,35.6,1,84.4
Burlingame,104,10.8,2.2,93
San Mateo,104,19.4,1.8,110.6
Hayward Park,104,9.6,4.2,116
Hillsdale,104,10.2,0.6,125.6
Belmont,104,7.6,4.2,129
San Carlos,104,7,3.4,132.6
Redwood City,104,14.6,14,133.2
Menlo Park,104,6,8.6,130.6
Palo Alto,104,5,59.4,76.2
California Ave,104,4.2,9.4,71
San Antonio,104,1.6,8,64.6
Mt View,104,1,19.8,45.8
Sunnyvale,104,2.8,16.4,32.2
Lawrence,104,0.4,5.8,26.8
Santa Clara,104,0.4,8.6,18.6
San Jose Diridon,104,0,12.8,5.8
Tamien,104,0,5.8,0
San Francisco,206,111.8,0,111.8
22nd St,206,57.2,1,168
Millbrae,206,84.4,4.2,248.2
Burlingame,206,22.4,1.2,269.4
San Mateo,206,32.4,5.4,296.4
Hillsdale,206,36.8,13.2,320
San Carlos,206,24.2,21.6,322.6
Redwood City,206,22.2,35.8,309
Menlo Park,206,15.6,27,297.6
Palo Alto,206,12.8,130.6,179.8
California Ave,206,8,22.4,165.4
Mt View,206,6.8,85,87.2
Lawrence,206,1.4,34.6,54
San Jose Diridon,206,0,54,0
San Francisco,208,33,0,33
22nd St,208,17,0,50
Bayshore,208,19.4,0.4,69
So. San Francisco,208,9.2,4,74.2
San Bruno,208,25.8,1.2,98.8
Millbrae,208,58.8,4.2,153.4
Burlingame,208,23.8,3.2,174
San Mateo,208,26,11.4,188.6
Hayward Park,208,21.4,9.2,200.8
Hillsdale,208,38.6,10.8,228.6
Belmont,208,33.6,11.6,250.6
San Carlos,208,28.6,17.6,261.6
Redwood City,208,34.8,50,246.4
Palo Alto,208,19.6,186.6,79.4
Santa Clara,208,6,39.6,45.8
San Jose Diridon,208,0.2,43.2,2.8
Tamien,208,0,2.8,0
San Francisco,210,181.2,0,181.2
22nd St,210,96,0.2,277
Millbrae,210,82.6,4.8,354.8
San Mateo,210,130.6,12.6,472.8
San Carlos,210,45.8,29.4,489.2
Redwood City,210,38.8,48.2,479.8
Menlo Park,210,37.8,113.8,403.8
Palo Alto,210,33.8,133.6,304
California Ave,210,19,61.8,261.2
San Antonio,210,18.2,35.4,244
Mt View,210,21.6,82.6,183
Sunnyvale,210,18.8,52.8,149
Lawrence,210,6.4,28,127.4
Santa Clara,210,0.6,13.4,114.6
College Park,210,0,101.2,13.4
San Jose Diridon,210,0.2,11,2.6
Tamien,210,0,2.6,0
San Francisco,312,219.2,0,219.2
22nd St,312,117.4,3.2,333.4
Millbrae,312,157,8.4,482
Redwood City,312,43.6,118.8,406.8
Menlo Park,312,12,58.6,360.2
Palo Alto,312,8.2,144.8,223.6
Mt View,312,6,146.4,83.2
San Jose Diridon,312,0,83.2,0
San Francisco,314,305.8,0,305.8
22nd St,314,143.6,0.6,448.8
Millbrae,314,115.4,11.4,552.8
Hillsdale,314,114.2,76.4,590.6
Palo Alto,314,26.2,320.4,296.4
Mt View,314,7.6,217.4,86.6
San Jose Diridon,314,0,86.6,0
San Francisco,216,161.4,0,161.4
22nd St,216,64,0.2,225.2
San Bruno,216,55.4,7.8,272.8
Burlingame,216,65.6,17,321.4
San Mateo,216,69.4,19.6,371.2
Hillsdale,216,68.6,31,408.8
San Carlos,216,65.4,42.6,431.6
Menlo Park,216,31.2,58.8,404
Palo Alto,216,14.4,172.8,245.6
Mt View,216,10.2,120,135.8
Lawrence,216,3.8,92.4,47.2
San Jose Diridon,216,0,47.2,0
San Francisco,218,82.8,0,82.8
22nd St,218,25.4,1.6,106.6
Bayshore,218,35.6,1.8,140.4
So. San Francisco,218,20.4,18.8,142
San Bruno,218,29.4,3,168.4
Millbrae,218,88.8,8.4,248.8
Burlingame,218,46.8,11.2,284.4
San Mateo,218,31,15.2,300.2
Hayward Park,218,26,20.4,305.8
Hillsdale,218,55.6,29.8,331.6
Belmont,218,58.2,27,362.8
San Carlos,218,33.8,15.6,381
Redwood City,218,49.6,72.6,358
Palo Alto,218,13.4,266.4,105
Santa Clara,218,1.6,54,52.6
San Jose Diridon,218,0,51.4,1.2
Tamien,218,0,1.2,0
San Francisco,220,424.8,0,424.8
22nd St,220,140.2,2.8,562.2
Millbrae,220,115.2,15.8,661.6
San Mateo,220,82,52.6,691
San Carlos,220,41.8,38.4,694.4
Redwood City,220,57.2,75.4,676.2
Menlo Park,220,19.8,74,622
Palo Alto,220,53.4,209.2,466.2
California Ave,220,17.4,177.8,305.8
San Antonio,220,10.2,61.2,254.8
Mt View,220,4.6,128,131.4
Sunnyvale,220,7.6,76.6,62.4
Lawrence,220,2.8,31.4,33.8
Santa Clara,220,0.6,14,20.4
San Jose Diridon,220,0.2,19.2,1.4
Tamien,220,0,1.4,0
San Francisco,322,397.2,0,397.2
22nd St,322,143.8,1.2,539.8
Millbrae,322,129.2,6,663
Redwood City,322,54.2,152.8,564.4
Menlo Park,322,13.8,65.4,512.8
Palo Alto,322,11.2,244.4,279.6
Mt View,322,11.2,209.6,81.2
San Jose Diridon,322,0,81.2,0
San Francisco,324,356.8,0,356.8
22nd St,324,143.4,2.4,497.8
Millbrae,324,117.4,7.4,607.8
Hillsdale,324,87.8,62.2,633.4
Palo Alto,324,18.4,336.2,315.6
Mt View,324,4.4,253.6,66.4
San Jose Diridon,324,0,66.4,0
San Francisco,226,193.2,0,193.2
22nd St,226,78.6,0.4,271.4
San Bruno,226,32.8,21.4,282.8
Burlingame,226,39.8,18.8,303.8
San Mateo,226,64.2,53,315
Hillsdale,226,36.6,22.8,328.8
San Carlos,226,38.6,26,341.4
Menlo Park,226,17.6,51.2,307.8
Palo Alto,226,17.8,132.8,192.8
Mt View,226,7.6,117.6,82.8
Lawrence,226,9.6,70.2,22.2
San Jose Diridon,226,0,22.2,0
San Francisco,228,142.4,0,142.4
22nd St,228,33,0.2,175.2
Bayshore,228,31.4,2.6,204
So. San Francisco,228,15.2,32.4,186.8
San Bruno,228,18,4,200.8
Millbrae,228,71.8,8.6,264
Burlingame,228,34.8,11.6,287.2
San Mateo,228,21.6,25.4,283.4
Hayward Park,228,18.2,23.8,277.8
Hillsdale,228,36.6,31,283.4
Belmont,228,34.8,14.8,303.4
San Carlos,228,24.4,19,308.8
Redwood City,228,32,74.8,266
Palo Alto,228,5.6,203.2,68.4
Santa Clara,228,1,39.6,29.8
San Jose Diridon,228,0.2,26,4
Tamien,228,0,4,0
San Francisco,230,368.6,0,368.6
22nd St,230,142,2.2,508.4
Millbrae,230,89.6,11.6,586.4
San Mateo,230,50.4,56.4,580.4
San Carlos,230,24.4,50.8,554
Redwood City,230,36.8,76.6,514.2
Menlo Park,230,14.8,43.4,485.6
Palo Alto,230,40.4,167.2,358.8
California Ave,230,11,134.8,235
San Antonio,230,7.6,48.6,194
Mt View,230,5,103.4,95.6
Sunnyvale,230,4.4,54.4,45.6
Lawrence,230,2,19.6,28
Santa Clara,230,0.8,12.2,16.6
San Jose Diridon,230,0.4,16.8,0.2
Tamien,230,0,0.2,0
San Francisco,332,367.2,0,367.2
22nd St,332,142.6,1.2,508.6
Millbrae,332,78.2,11.8,575
Redwood City,332,25.2,125.8,474.4
Menlo Park,332,13.2,38.8,448.8
Palo Alto,332,6.2,224.8,230.2
Mt View,332,6.8,189.2,47.8
San Jose Diridon,332,0,47.8,0
San Francisco,134,154.2,0,154.2
22nd St,134,55.4,2.6,207
Bayshore,134,21.6,0.8,227.8
So. San Francisco,134,9,10.6,226.2
San Bruno,134,17,2.8,240.4
Millbrae,134,73.8,5,309.2
Burlingame,134,25.4,16.8,317.8
San Mateo,134,25.6,30.8,312.6
Hayward Park,134,8.2,22.2,298.6
Hillsdale,134,31.8,26.6,303.8
Belmont,134,15.2,11.8,307.2
San Carlos,134,13.4,20,300.6
Redwood City,134,26.6,47.6,279.6
Menlo Park,134,7.8,17.8,269.6
Palo Alto,134,11.8,122.8,158.6
California Ave,134,2.2,40.6,120.2
San Antonio,134,2.8,11.8,111.2
Mt View,134,4.4,59,56.6
Sunnyvale,134,1.4,17,41
Lawrence,134,0.6,9.8,31.8
Santa Clara,134,1.2,12.6,20.4
San Jose Diridon,134,0,20.4,0
San Francisco,236,254.4,0,254.4
San Bruno,236,10,3,261.4
Millbrae,236,59.2,3,317.6
Burlingame,236,11.8,12.4,317
San Mateo,236,18.8,24,311.8
Hillsdale,236,10.2,18.4,303.6
Belmont,236,9,5.6,307
San Carlos,236,19,12,314
Redwood City,236,56.6,43.4,327.2
Menlo Park,236,5.4,30.8,301.8
Palo Alto,236,11,136.4,176.4
California Ave,236,4,39.4,141
San Antonio,236,1,18.6,123.4
Mt View,236,4.2,50,77.6
Sunnyvale,236,1.2,16.8,62
Lawrence,236,0.4,11.6,50.8
Santa Clara,236,0.2,14.2,36.8
San Jose Diridon,236,0,34.4,2.4
Tamien,236,0,2.4,0
San Francisco,138,188,0,188
22nd St,138,44.8,1.4,231.4
Bayshore,138,12.4,0.4,243.4
So. San Francisco,138,5.8,4.8,244.4
San Bruno,138,14.8,4.6,254.6
Millbrae,138,70.4,4.8,320.2
Burlingame,138,11.6,12.2,319.6
San Mateo,138,18.6,18.2,320
Hayward Park,138,7,10.6,316.4
Hillsdale,138,12,16.6,311.8
Belmont,138,8.4,10.8,309.4
San Carlos,138,10.8,18.2,302
Redwood City,138,17,54.6,264.4
Menlo Park,138,10,33,241.4
Palo Alto,138,14.8,93.8,162.4
California Ave,138,4,21.4,145
San Antonio,138,2,13.8,133.2
Mt View,138,3.8,38.4,98.6
Sunnyvale,138,1.8,21,79.4
Lawrence,138,0.6,11.6,68.4
Santa Clara,138,0.2,17.4,51.2
San Jose Diridon,138,0,51.2,0
San Francisco,142,179,0,179
22nd St,142,21.8,0,200.8
Bayshore,142,7.8,0.4,208.2
So. San Francisco,142,4.8,2.4,210.6
San Bruno,142,5.4,4.2,211.8
Millbrae,142,65.6,3.6,273.8
Burlingame,142,11.6,5,280.4
San Mateo,142,13.4,17.8,276
Hayward Park,142,3.4,7.8,271.6
Hillsdale,142,11.6,14.6,268.6
Belmont,142,8.2,8.2,268.6
San Carlos,142,6.4,10,265
Redwood City,142,18,38.4,244.6
Menlo Park,142,11,17.6,238
Palo Alto,142,16.8,93.6,161.2
California Ave,142,6.2,18.4,149
San Antonio,142,4.4,12,141.4
Mt View,142,4,41.8,103.6
Sunnyvale,142,2.8,25.2,81.2
Lawrence,142,1.6,8,74.8
Santa Clara,142,1.2,22.2,53.8
San Jose Diridon,142,0,53.8,0
San Francisco,146,151.4,0,151.4
22nd St,146,17.6,0.2,168.8
Bayshore,146,9,0,177.8
So. San Francisco,146,5,3,179.8
San Bruno,146,10.8,5.4,185.2
Millbrae,146,48,7.2,226
Burlingame,146,8.8,8.8,226
San Mateo,146,18.2,11.8,232.4
Hayward Park,146,6,4.6,233.8
Hillsdale,146,16,15,234.8
Belmont,146,7.6,8.2,234.2
San Carlos,146,6.8,11.2,229.8
Redwood City,146,17.8,37,210.6
Menlo Park,146,17,19.8,207.8
Palo Alto,146,24,69.6,162.2
California Ave,146,8.8,12,159
San Antonio,146,6.2,18.4,146.8
Mt View,146,6.2,40.4,112.6
Sunnyvale,146,3,24.2,91.4
Lawrence,146,2.6,9.8,84.2
Santa Clara,146,0.8,20,65
San Jose Diridon,146,0,65,0
San Francisco,150,168.8,0,168.8
22nd St,150,11.2,0.2,179.8
Bayshore,150,7.8,0.8,186.8
So. San Francisco,150,6,3.4,189.4
San Bruno,150,9.4,8.4,190.4
