,RICH,DELN,PLZA,NBRK,DBRK,ASHB,MCAR,19TH,12TH,LAKE,FTVL,COLS,SANL,BAYF,HAYW,SHAY,UCTY,FRMT,CONC,PHIL,WCRK,LAFY,ORIN,ROCK,WOAK,EMBR,MONT,POWL,CIVC,16TH,24TH,GLEN,BALB,DALY,COLM,CAST,DUBL,NCON,PITT,SSAN,SBRN,SFIA,MLBR,WDUB,OAKL
RICH,14.00,131.00,101.00,83.00,478.00,106.00,154.00,150.00,189.00,48.00,97.00,66.00,36.00,31.00,31.00,22.00,20.00,37.00,24.00,15.00,24.00,6.00,8.00,19.00,28.00,381.00,415.00,463.00,342.00,192.00,205.00,53.00,74.00,80.00,17.00,5.00,15.00,6.00,32.00,10.00,17.00,52.00,26.00,5.00,10.00
DELN,152.00,24.00,116.00,100.00,1004.00,164.00,282.00,488.00,636.00,119.00,128.00,123.00,57.00,49.00,75.00,28.00,39.00,86.00,40.00,20.00,30.00,12.00,14.00,38.00,38.00,987.00,1094.00,943.00,860.00,275.00,235.00,84.00,109.00,152.00,32.00,8.00,28.00,8.00,39.00,39.00,44.00,105.00,73.00,14.00,35.00
PLZA,109.00,103.00,17.00,63.00,766.00,87.00,140.00,321.00,344.00,92.00,59.00,40.00,33.00,18.00,24.00,8.00,17.00,49.00,21.00,17.00,24.00,9.00,8.00,33.00,16.00,615.00,704.00,450.00,446.00,142.00,77.00,39.00,41.00,55.00,5.00,4.00,17.00,4.00,18.00,7.00,13.00,61.00,37.00,8.00,27.00
NBRK,88.00,95.00,63.00,19.00,215.00,80.00,94.00,276.00,245.00,57.00,63.00,42.00,35.00,19.00,30.00,9.00,18.00,38.00,20.00,22.00,26.00,6.00,9.00,23.00,16.00,704.00,795.00,424.00,547.00,169.00,102.00,39.00,32.00,49.00,6.00,8.00,15.00,4.00,18.00,7.00,10.00,88.00,40.00,11.00,36.00
DBRK,507.00,1051.00,793.00,239.00,47.00,413.00,435.00,608.00,598.00,294.00,319.00,170.00,207.00,155.00,162.00,90.00,160.00,278.00,147.00,182.00,153.00,79.00,51.00,53.00,83.00,1076.00,1046.00,874.00,837.00,351.00,278.00,143.00,124.00,136.00,46.00,59.00,117.00,48.00,130.00,38.00,43.00,166.00,174.00,57.00,86.00
ASHB,115.00,137.00,86.00,69.00,382.00,24.00,101.00,274.00,261.00,72.00,104.00,63.00,53.00,32.00,38.00,21.00,39.00,59.00,26.00,24.00,25.00,11.00,7.00,17.00,32.00,739.00,824.00,500.00,561.00,231.00,137.00,32.00,48.00,46.00,12.00,9.00,19.00,8.00,39.00,9.00,17.00,55.00,46.00,10.00,25.00
MCAR,170.00,292.00,132.00,103.00,437.00,106.00,40.00,223.00,251.00,89.00,191.00,156.00,127.00,103.00,113.00,61.00,83.00,140.00,165.00,193.00,149.00,61.00,40.00,71.00,58.00,1125.00,1303.00,878.00,945.00,426.00,245.00,82.00,83.00,96.00,29.00,31.00,67.00,67.00,261.00,32.00,36.00,108.00,68.00,24.00,29.00
19TH,168.00,502.00,335.00,279.00,575.00,283.00,216.00,44.00,55.00,47.00,199.00,184.00,247.00,209.00,230.00,169.00,227.00,389.00,348.00,406.00,325.00,156.00,115.00,192.00,64.00,1444.00,1579.00,982.00,1101.00,483.00,356.00,189.00,137.00,172.00,83.00,79.00,236.00,176.00,270.00,72.00,69.00,86.00,146.00,99.00,37.00
12TH,207.00,649.00,325.00,253.00,525.00,253.00,238.00,59.00,52.00,55.00,256.00,320.00,356.00,337.00,309.00,176.00,219.00,357.00,356.00,391.00,285.00,148.00,120.00,165.00,97.00,1357.00,1370.00,973.00,1043.00,350.00,325.00,175.00,179.00,210.00,137.00,115.00,246.00,186.00,357.00,85.00,92.00,122.00,157.00,124.00,58.00
LAKE,49.00,121.00,96.00,72.00,289.00,71.00,92.00,57.00,58.00,26.00,196.00,247.00,334.00,284.00,177.00,98.00,129.00,181.00,37.00,31.00,27.00,9.00,14.00,38.00,41.00,891.00,1014.00,737.00,673.00,256.00,154.00,60.00,87.00,103.00,11.00,133.00,198.00,13.00,56.00,14.00,19.00,30.00,22.00,77.00,21.00
FTVL,93.00,126.00,67.00,68.00,333.00,100.00,202.00,220.00,262.00,188.00,33.00,258.00,253.00,253.00,216.00,91.00,93.00,183.00,48.00,30.00,42.00,18.00,27.00,55.00,118.00,969.00,1052.00,958.00,919.00,333.00,255.00,73.00,108.00,132.00,10.00,69.00,123.00,12.00,57.00,18.00,25.00,66.00,28.00,60.00,12.00
COLS,67.00,124.00,41.00,47.00,169.00,63.00,168.00,198.00,331.00,219.00,239.00,22.00,141.00,226.00,159.00,90.00,100.00,178.00,51.00,38.00,47.00,24.00,19.00,38.00,99.00,624.00,575.00,553.00,464.00,155.00,131.00,70.00,77.00,138.00,15.00,51.00,140.00,18.00,102.00,24.00,29.00,38.00,28.00,63.00,32.00
SANL,40.00,60.00,34.00,38.00,206.00,52.00,136.00,259.00,372.00,326.00,253.00,152.00,20.00,134.00,176.00,75.00,96.00,157.00,32.00,28.00,27.00,9.00,8.00,24.00,39.00,745.00,787.00,631.00,537.00,163.00,105.00,40.00,74.00,108.00,11.00,45.00,98.00,9.00,45.00,14.00,15.00,43.00,13.00,52.00,9.00
BAYF,27.00,46.00,18.00,21.00,152.00,30.00,108.00,209.00,322.00,267.00,239.00,207.00,133.00,22.00,140.00,85.00,110.00,251.00,27.00,13.00,11.00,6.00,3.00,14.00,35.00,722.00,743.00,585.00,469.00,140.00,90.00,37.00,46.00,88.00,9.00,66.00,158.00,6.00,18.00,12.00,19.00,29.00,9.00,92.00,7.00
HAYW,37.00,80.00,28.00,31.00,152.00,43.00,114.00,232.00,299.00,164.00,216.00,169.00,196.00,146.00,23.00,128.00,222.00,363.00,27.00,20.00,18.00,5.00,4.00,17.00,29.00,536.00,561.00,391.00,331.00,90.00,66.00,29.00,40.00,57.00,6.00,25.00,65.00,11.00,41.00,8.00,13.00,21.00,9.00,36.00,12.00
SHAY,21.00,31.00,9.00,11.00,84.00,21.00,57.00,160.00,163.00,90.00,92.00,83.00,68.00,79.00,101.00,13.00,93.00,179.00,11.00,8.00,12.00,1.00,2.00,7.00,16.00,404.00,388.00,224.00,255.00,79.00,46.00,11.00,21.00,46.00,5.00,12.00,34.00,2.00,13.00,7.00,8.00,15.00,7.00,22.00,6.00
UCTY,22.00,42.00,19.00,16.00,160.00,45.00,82.00,230.00,212.00,118.00,100.00,106.00,93.00,112.00,220.00,80.00,33.00,197.00,15.00,14.00,15.00,3.00,4.00,11.00,13.00,1015.00,862.00,372.00,344.00,79.00,43.00,13.00,24.00,61.00,5.00,20.00,57.00,5.00,27.00,7.00,5.00,24.00,7.00,20.00,14.00
FRMT,41.00,92.00,49.00,39.00,305.00,61.00,147.00,390.00,349.00,181.00,195.00,180.00,164.00,256.00,361.00,190.00,176.00,73.00,32.00,37.00,26.00,14.00,15.00,33.00,24.00,1929.00,1586.00,634.00,515.00,152.00,51.00,34.00,36.00,75.00,9.00,42.00,99.00,11.00,53.00,6.00,7.00,42.00,9.00,42.00,31.00
CONC,25.00,38.00,21.00,25.00,148.00,24.00,175.00,339.00,355.00,38.00,41.00,52.00,32.00,26.00,28.00,10.00,16.00,33.00,29.00,109.00,265.00,95.00,44.00,98.00,19.00,945.00,983.00,587.00,529.00,137.00,88.00,46.00,56.00,100.00,26.00,8.00,9.00,58.00,324.00,29.00,26.00,105.00,31.00,3.00,30.00
PHIL,15.00,18.00,19.00,24.00,180.00,24.00,186.00,383.00,379.00,26.00,30.00,40.00,25.00,11.00,25.00,10.00,13.00,36.00,103.00,28.00,122.00,50.00,34.00,120.00,14.00,1679.00,1733.00,702.00,620.00,148.00,82.00,109.00,46.00,80.00,15.00,3.00,5.00,34.00,148.00,26.00,29.00,151.00,27.00,2.00,47.00
WCRK,28.00,35.00,24.00,32.00,156.00,26.00,156.00,334.00,313.00,26.00,37.00,46.00,27.00,13.00,17.00,14.00,12.00,29.00,311.00,135.00,30.00,63.00,44.00,163.00,18.00,1488.00,1501.00,580.00,502.00,131.00,78.00,57.00,42.00,74.00,25.00,5.00,6.00,56.00,234.00,19.00,28.00,183.00,33.00,2.00,47.00
LAFY,8.00,8.00,8.00,6.00,80.00,11.00,57.00,152.00,155.00,10.00,15.00,26.00,8.00,6.00,5.00,2.00,3.00,13.00,111.00,70.00,65.00,14.00,17.00,75.00,5.00,881.00,824.00,293.00,294.00,69.00,34.00,23.00,11.00,19.00,4.00,2.00,2.00,11.00,48.00,6.00,9.00,91.00,16.00,1.00,26.00
ORIN,10.00,12.00,9.00,8.00,51.00,8.00,43.00,116.00,124.00,11.00,20.00,20.00,6.00,3.00,6.00,2.00,5.00,13.00,48.00,29.00,45.00,22.00,11.00,58.00,2.00,811.00,743.00,256.00,249.00,52.00,28.00,25.00,19.00,21.00,3.00,3.00,2.00,6.00,22.00,9.00,8.00,73.00,9.00,1.00,15.00
ROCK,25.00,41.00,32.00,25.00,69.00,17.00,69.00,215.00,186.00,34.00,54.00,30.00,20.00,13.00,16.00,7.00,11.00,35.00,97.00,119.00,158.00,75.00,63.00,25.00,28.00,1131.00,1235.00,622.00,702.00,210.00,111.00,56.00,41.00,41.00,7.00,6.00,14.00,23.00,57.00,14.00,14.00,141.00,30.00,5.00,19.00
WOAK,25.00,32.00,16.00,12.00,79.00,29.00,54.00,66.00,106.00,35.00,105.00,99.00,40.00,38.00,32.00,15.00,12.00,24.00,15.00,13.00,14.00,5.00,2.00,27.00,24.00,1731.00,1553.00,1047.00,903.00,370.00,203.00,56.00,76.00,54.00,15.00,15.00,26.00,6.00,36.00,16.00,24.00,85.00,35.00,8.00,7.00
EMBR,491.00,1136.00,731.00,794.00,1249.00,957.00,1370.00,1836.00,1719.00,1128.00,1180.00,702.00,968.00,920.00,692.00,512.00,1162.00,2199.00,1178.00,2150.00,1802.00,1011.00,927.00,1235.00,2145.00,163.00,128.00,547.00,628.00,1176.00,1833.00,1272.00,1570.00,1378.00,900.00,672.00,2423.00,607.00,1012.00,671.00,656.00,454.00,1124.00,959.00,155.00
MONT,444.00,1002.00,653.00,687.00,936.00,815.00,1161.00,1379.00,1171.00,1024.00,1061.00,568.00,779.00,726.00,566.00,396.00,846.00,1567.00,965.00,1664.00,1307.00,726.00,650.00,1045.00,1639.00,155.00,148.00,178.00,535.00,1358.00,2289.00,1597.00,2483.00,1868.00,1090.00,556.00,1651.00,511.00,847.00,849.00,750.00,414.00,1420.00,681.00,95.00
POWL,384.00,697.00,335.00,330.00,698.00,399.00,706.00,838.00,803.00,605.00,773.00,476.00,498.00,477.00,314.00,190.00,300.00,538.00,452.00,520.00,429.00,206.00,193.00,450.00,946.00,776.00,322.00,137.00,362.00,1297.00,1687.00,1131.00,2114.00,1288.00,594.00,240.00,640.00,238.00,566.00,444.00,385.00,1110.00,667.00,274.00,119.00
CIVC,314.00,676.00,380.00,440.00,659.00,511.00,806.00,914.00,796.00,576.00,821.00,406.00,460.00,420.00,301.00,240.00,312.00,485.00,442.00,530.00,400.00,253.00,209.00,574.00,886.00,646.00,592.00,332.00,89.00,665.00,1093.00,811.00,1362.00,850.00,519.00,239.00,619.00,270.00,551.00,424.00,385.00,457.00,666.00,260.00,61.00
16TH,171.00,212.00,118.00,151.00,327.00,218.00,373.00,449.00,303.00,233.00,290.00,157.00,145.00,124.00,83.00,73.00,63.00,122.00,120.00,125.00,102.00,55.00,44.00,170.00,368.00,1231.00,1589.00,1550.00,733.00,48.00,248.00,337.00,700.00,328.00,161.00,59.00,155.00,64.00,174.00,148.00,142.00,184.00,280.00,62.00,22.00
24TH,175.00,184.00,71.00,88.00,258.00,125.00,214.00,331.00,276.00,139.00,213.00,124.00,93.00,79.00,59.00,43.00,36.00,46.00,67.00,71.00,62.00,30.00,26.00,101.00,208.00,1563.00,2076.00,1925.00,1087.00,235.00,47.00,261.00,573.00,271.00,127.00,25.00,86.00,42.00,138.00,100.00,133.00,156.00,239.00,31.00,19.00
GLEN,43.00,73.00,31.00,38.00,126.00,34.00,80.00,173.00,156.00,53.00,68.00,71.00,37.00,31.00,22.00,10.00,14.00,30.00,34.00,50.00,45.00,15.00,17.00,41.00,61.00,1135.00,1415.00,1262.00,728.00,336.00,274.00,35.00,120.00,76.00,63.00,18.00,55.00,13.00,60.00,42.00,73.00,102.00,144.00,22.00,15.00
